institution_type,refPeriod,template_id,template_title,n_peer,n_offengelegt,quote_peer,band,art_432_2
Large highest EEA,2025-06-30,00.01,Accompanying narrative FINDIS,87,44,0.5057,uneinheitlich,
Large highest EEA,2025-06-30,00.02,Accompanying narrative CONDIS,104,55,0.5288,uneinheitlich,
Large highest EEA,2025-06-30,00.03,Accompanying narrative ESGDIS,86,50,0.5814,uneinheitlich,
Large highest EEA,2025-06-30,00.04,Accompanying narrative IRRBBDIS,82,29,0.3537,uneinheitlich,
Large highest EEA,2025-06-30,00.05,Accompanying narrative MREL/TLACDIS,74,25,0.3378,uneinheitlich,
Large highest EEA,2025-06-30,01.00,EU CAE1 – Exposures to crypto-assets,104,4,0.0385,untypisch,
Large highest EEA,2025-06-30,02.00,EU CCR1 – Analysis of CCR exposure by approach,104,85,0.8173,erwartbar,
Large highest EEA,2025-06-30,03.00,EU CCR3 – Standardised approach – CCR exposures by regulatory exposure class and risk weights,104,81,0.7788,uneinheitlich,
Large highest EEA,2025-06-30,04.00,EU CCR4 – IRB approach – CCR exposures by exposure class and PD scale (I),104,47,0.4519,uneinheitlich,
Large highest EEA,2025-06-30,05.00,EU CCR5 – Composition of collateral for CCR exposures (I),104,80,0.7692,uneinheitlich,
Large highest EEA,2025-06-30,06.00,EU CCR6 – Credit derivatives exposures,104,45,0.4327,uneinheitlich,
Large highest EEA,2025-06-30,07.00,EU CCR7 – RWEA flow statements of CCR exposures under the IMM,104,23,0.2212,uneinheitlich,
Large highest EEA,2025-06-30,08.00,EU CCR8 – Exposures to CCPs,104,78,0.75,uneinheitlich,
Large highest EEA,2025-06-30,09.01,EU-SEC1 - Securitisation exposures in the non-trading book,104,59,0.5673,uneinheitlich,
Large highest EEA,2025-06-30,09.02,EU-SEC2 - Securitisation exposures in the trading book,104,19,0.1827,untypisch,
Large highest EEA,2025-06-30,09.03,EU-SEC3 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as originator or as sponsor,104,47,0.4519,uneinheitlich,
Large highest EEA,2025-06-30,09.04,EU-SEC4 - Securitisation exposures in the non-trading book and associated regulatory capital requirements - institution acting as investor,104,50,0.4808,uneinheitlich,
Large highest EEA,2025-06-30,09.05,EU-SEC5 - Exposures securitised by the institution - Exposures in default and specific credit risk adjustments,104,47,0.4519,uneinheitlich,
Large highest EEA,2025-06-30,10.00,EU MR1 - Market risk under the standardised approach,104,70,0.6731,uneinheitlich,
Large highest EEA,2025-06-30,11.00,EU MR2-A - Market risk under the internal Model Approach (IMA) - RWEA,104,36,0.3462,uneinheitlich,
Large highest EEA,2025-06-30,12.00,EU MR2-B - RWA flow statements of market risk exposures under the IMA,104,37,0.3558,uneinheitlich,
Large highest EEA,2025-06-30,13.00,EU MR3 - IMA values for trading portfolios,104,35,0.3365,uneinheitlich,
Large highest EEA,2025-06-30,18.01,EU CVA 1 – Credit valuation adjustment risk under the Reduced Basic Approach - OFR components,104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,18.02,EU CVA 2 – Credit valuation adjustment risk under the Full Basic Approach - OFRs,104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,18.03,EU CVA3 – Credit valuation adjustment risk under the Standardised Approach,104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,18.04,EU CVA4 – RWEA flow statements of credit valuation adjustment risk under the Standardised Approach,104,21,0.2019,uneinheitlich,
Large highest EEA,2025-06-30,19.01,EU OR1 -Operational risk losses,104,2,0.0192,untypisch,
Large highest EEA,2025-06-30,19.02,"EU OR2 - Business Indicator, components and subcomponents",104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,19.03,EU OR3 - Operational risk own funds requirements and risk exposure amounts,104,3,0.0288,untypisch,
Large highest EEA,2025-06-30,20.01,EU AE1 - Encumbered and unencumbered assets,87,3,0.0345,untypisch,
Large highest EEA,2025-06-30,20.02,EU AE2 - Collateral received and own debt securities issued,87,3,0.0345,untypisch,
Large highest EEA,2025-06-30,20.03,EU AE3 - Sources   of  encumbrance,87,3,0.0345,untypisch,
Large highest EEA,2025-06-30,21.01,EU CR1: Performing and non-performing exposures and related provisions,87,85,0.977,erwartbar,
Large highest EEA,2025-06-30,21.02,EU CR1-A: Maturity of exposures,87,84,0.9655,erwartbar,
Large highest EEA,2025-06-30,22.01,EU CR2: Changes in the stock of non-performing loans and advances,87,74,0.8506,erwartbar,
Large highest EEA,2025-06-30,22.02,EU CR2a: Changes in the stock of non-performing loans and advances and related net accumulated recoveries,87,11,0.1264,untypisch,
Large highest EEA,2025-06-30,23.00,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,104,80,0.7692,uneinheitlich,
Large highest EEA,2025-06-30,24.00,EU CR4 – standardised approach – Credit risk exposure and CRM effects,104,84,0.8077,erwartbar,
Large highest EEA,2025-06-30,25.00,EU CR5 – standardised approach,104,84,0.8077,erwartbar,
Large highest EEA,2025-06-30,26.00,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range (I),104,53,0.5096,uneinheitlich,
